commune,cows,id,compute_ratio_id
Kyburg,1590,175,296
Illnau-Effretikon,1590,174,296
Bangerten,1679,532,310
Rapperswil (BE),1679,310,310
Niederösch,1116,417,405
Oberösch,1116,419,405
Ersigen,1116,405,405
Hermiswil,1745,978,988
Seeberg,1745,988,988
Dompierre (FR),1796,2014,2053
Domdidier,1796,2013,2053
Russy,1796,2040,2053
Léchelles,1796,2024,2053
Autafond,1061,2172,2175
Belfaux,1061,2175,2175
Vuisternens-en-Ogoz,4902,2231,2236
Rossens (FR),4902,2222,2236
Farvagny,4902,2192,2236
Corpataux-Magnedens,4902,2184,2236
Le Glèbe,4902,2223,2236
Jeuss,1431,2264,2275
Lurtigen,1431,2270,2275
Salvenach,1431,2277,2275
Courlevon,1431,2251,2275
Murten,1431,2275,2275
Haut-Vully,939,2281,2284
Bas-Vully,939,2280,2284
Bivio,2092,3531,3543
Cunter,2092,3532,3543
Marmorera,2092,3533,3543
Mulegns,2092,3534,3543
Riom-Parsonz,2092,3536,3543
Salouf,2092,3538,3543
Savognin,2092,3539,3543
Sur,2092,3540,3543
Tinizong-Rona,2092,3541,3543
Obersaxen,1485,3612,3988
Mundaun,1485,3617,3988
Saas,1655,3883,3871
Klosters-Serneus,1655,3871,3871
St. Antönien,1829,3893,3891
Luzein,1829,3891,3891
Brot-Dessous,807,6405,6413
Rochefort,807,6413,6413
Aeugst am Albis,614,1,1
Affoltern am Albis,624,2,2
Bonstetten,338,3,3
Hausen am Albis,1403,4,4
Hedingen,316,5,5
Kappel am Albis,1048,6,6
Knonau,807,7,7
Maschwanden,582,8,8
Mettmenstetten,1932,9,9
Obfelden,517,10,10
Ottenbach,204,11,11
Rifferswil,614,12,12
Stallikon,653,13,13
Wettswil am Albis,46,14,14
Adlikon,476,21,21
Benken (ZH),329,22,22
Berg am Irchel,185,23,23
Buch am Irchel,983,24,24
Dachsen,0,25,25
Dorf,115,26,26
Feuerthalen,0,27,27
Flaach,535,28,28
Flurlingen,0,29,29
Andelfingen,118,30,30
Henggart,22,31,31
Humlikon,50,32,32
Kleinandelfingen,435,33,33
Laufen-Uhwiesen,273,34,34
Marthalen,457,35,35
Oberstammheim,838,36,36
Ossingen,1314,37,37
Rheinau,118,38,38
Thalheim an der Thur,553,39,39
Trüllikon,502,40,40
Truttikon,392,41,41
Unterstammheim,494,42,42
Volken,203,43,43
Waltalingen,560,44,44
Bachenbülach,29,51,51
Bassersdorf,334,52,52
Bülach,498,53,53
Dietlikon,48,54,54
Eglisau,229,55,55
Embrach,509,56,56
Freienstein-Teufen,569,57,57
Glattfelden,807,58,58
Hochfelden,358,59,59
Höri,396,60,60
Hüntwangen,107,61,61
Kloten,556,62,62
Lufingen,59,63,63
Nürensdorf,441,64,64
Oberembrach,894,65,65
Opfikon,67,66,66
Rafz,630,67,67
Rorbas,180,68,68
Wallisellen,69,69,69
Wasterkingen,276,70,70
Wil (ZH),482,71,71
Winkel,204,72,72
Bachs,576,81,81
Boppelsen,132,82,82
Buchs (ZH),45,83,83
Dällikon,182,84,84
Dänikon,82,85,85
Dielsdorf,76,86,86
Hüttikon,230,87,87
Neerach,630,88,88
Niederglatt,267,89,89
Niederhasli,897,90,90
Niederweningen,495,91,91
Oberglatt,61,92,92
Oberweningen,202,93,93
Otelfingen,443,94,94
Regensberg,114,95,95
Regensdorf,772,96,96
Rümlang,238,97,97
Schleinikon,367,98,98
Schöfflisdorf,140,99,99
Stadel,1494,100,100
Steinmaur,345,101,101
Weiach,163,102,102
Bäretswil,1626,111,111
Bubikon,1310,112,112
Dürnten,846,113,113
Fischenthal,1309,114,114
Gossau (ZH),1874,115,115
Grüningen,888,116,116
Hinwil,2237,117,117
Rüti (ZH),689,118,118
Seegräben,400,119,119
Wald (ZH),2512,120,120
Wetzikon (ZH),977,121,121
Adliswil,29,131,131
Hirzel,1699,132,132
Horgen,671,133,133
Hütten,844,134,134
Kilchberg (ZH),21,135,135
Langnau am Albis,407,136,136
Oberrieden,0,137,137
Richterswil,822,138,138
Rüschlikon,44,139,139
Schönenberg (ZH),1259,140,140
Thalwil,89,141,141
Wädenswil,1783,142,142
Erlenbach (ZH),0,151,151
Herrliberg,612,152,152
Hombrechtikon,1299,153,153
Küsnacht (ZH),406,154,154
Männedorf,52,155,155
Meilen,829,156,156
Oetwil am See,584,157,157
Stäfa,273,158,158
Uetikon am See,156,159,159
Zumikon,24,160,160
Zollikon,0,161,161
Fehraltorf,725,172,172
Hittnau,1134,173,173
Lindau,856,176,176
Pfäffikon,1462,177,177
Russikon,855,178,178
Weisslingen,1282,180,180
Wila,647,181,181
Wildberg,791,182,182
Bauma,1423,297,297
Dübendorf,292,191,191
Egg,1321,192,192
Fällanden,131,193,193
Greifensee,161,194,194
Maur,1370,195,195
Mönchaltorf,601,196,196
Schwerzenbach,97,197,197
Uster,1446,198,198
Volketswil,714,199,199
Wangen-Brüttisellen,413,200,200
Altikon,617,211,211
Brütten,515,213,213
Dägerlen,612,214,214
Dättlikon,106,215,215
Dinhard,833,216,216
Elgg,985,217,217
Ellikon an der Thur,228,218,218
Elsau,449,219,219
Hagenbuch,742,220,220
Hettlingen,293,221,221
Hofstetten (ZH),469,222,222
Neftenbach,1054,223,223
Pfungen,248,224,224
Rickenbach (ZH),978,225,225
Schlatt (ZH),736,226,226
Seuzach,437,227,227
Turbenthal,1522,228,228
Winterthur,1423,230,230
Zell (ZH),831,231,231
Wiesendangen,1633,298,298
Aesch (ZH),400,241,241
Birmensdorf (ZH),590,242,242
Dietikon,241,243,243
Geroldswil,0,244,244
Oberengstringen,0,245,245
Oetwil an der Limmat,194,246,246
Schlieren,201,247,247
Uitikon,262,248,248
Unterengstringen,50,249,249
Urdorf,121,250,250
Weiningen (ZH),92,251,251
Zürich,732,261,261
Corgémont,814,431,431
Cormoret,422,432,432
Cortébert,646,433,433
Courtelary,1117,434,434
La Ferrière,1115,435,435
Mont-Tramelan,568,437,437
Orvin,662,438,438
Renan (BE),837,441,441
Romont (BE),366,442,442
Saint-Imier,686,443,443
Sonceboz-Sombeval,1001,444,444
Sonvilier,1956,445,445
Tramelan,1764,446,446
Villeret,563,448,448
Sauge,272,449,449
Péry-La Heutte,401,450,450
Belprahon,141,681,681
Champoz,355,683,683
Corcelles (BE),374,687,687
Court,831,690,690
Crémines,577,691,691
Eschert,294,692,692
Grandval,341,694,694
Loveresse,226,696,696
Moutier,788,700,700
Perrefitte,318,701,701
Reconvilier,260,703,703
Roches (BE),297,704,704
Saicourt,562,706,706
Saules (BE),200,707,707
Schelten,310,708,708
Seehof,600,709,709
Sorvilier,291,711,711
Tavannes,1007,713,713
Rebévelier,297,715,715
Petit-Val,1494,716,716
Valbirse,853,717,717
La Neuveville,68,723,723
Nods,1041,724,724
Plateau de Diesse,1373,726,726
Biel/Bienne,82,371,371
Evilard,259,372,372
Lengnau (BE),424,387,387
Meinisberg,133,390,390
Pieterlen,324,392,392
Aegerten,23,731,731
Bellmund,267,732,732
Brügg,151,733,733
Ipsach,16,739,739
Ligerz,0,740,740
Mörigen,92,742,742
Nidau,0,743,743
Orpund,191,744,744
Port,33,745,745
Safnern,202,746,746
Scheuren,446,747,747
Schwadernau,483,748,748
Sutz-Lattrigen,61,750,750
Twann-Tüscherz,420,756,756
Aarberg,509,301,301
Bargen (BE),393,302,302
Grossaffoltern,1121,303,303
Kallnach,1440,304,304
Kappelen,785,305,305
Lyss,441,306,306
Radelfingen,1207,309,309
Schüpfen,1498,311,311
Seedorf (BE),2096,312,312
Arch,232,381,381
Büetigen,190,382,382
Büren an der Aare,486,383,383
Diessbach bei Büren,702,385,385
Dotzigen,737,386,386
Leuzigen,987,388,388
Meienried,159,389,389
Oberwil bei Büren,458,391,391
Rüti bei Büren,298,393,393
Wengi,485,394,394
Brüttelen,286,491,491
Erlach,214,492,492
Finsterhennen,30,493,493
Gals,531,494,494
Gampelen,259,495,495
Ins,1830,496,496
Lüscherz,367,497,497
Müntschemier,15,498,498
Siselen,275,499,499
Treiten,112,500,500
Tschugg,174,501,501
Vinelz,330,502,502
Bühl,370,734,734
Epsach,224,735,735
Hagneck,71,736,736
Hermrigen,243,737,737
Jens,304,738,738
Merzligen,51,741,741
Studen (BE),75,749,749
Täuffelen,120,751,751
Walperswil,711,754,754
Worben,441,755,755
Aarwangen,809,321,321
Auswil,619,322,322
Bannwil,313,323,323
Bleienbach,488,324,324
Busswil bei Melchnau,269,325,325
Gondiswil,1160,326,326
Langenthal,594,329,329
Lotzwil,470,331,331
Madiswil,2688,332,332
Melchnau,840,333,333
Obersteckholz,385,334,334
Oeschenbach,514,335,335
Reisiswil,254,336,336
Roggwil (BE),173,337,337
Rohrbach,283,338,338
Rohrbachgraben,980,339,339
Rütschelen,303,340,340
Schwarzhäusern,183,341,341
Thunstetten,980,342,342
Ursenbach,1042,344,344
Wynau,373,345,345
Eriswil,1787,953,953
Huttwil,2279,954,954
Walterswil (BE),1373,959,959
Wyssachen,1899,960,960
Attiswil,615,971,971
Berken,109,972,972
Bettenhausen,413,973,973
Farnern,284,975,975
Graben,254,976,976
Heimenhausen,440,977,977
Herzogenbuchsee,314,979,979
Inkwil,204,980,980
Niederbipp,1439,981,981
Niederönz,192,982,982
Oberbipp,490,983,983
Ochlenberg,1422,985,985
Rumisberg,426,987,987
Thörigen,518,989,989
Walliswil bei Niederbipp,84,990,990
Walliswil bei Wangen,226,991,991
Wangen an der Aare,541,992,992
Wangenried,294,993,993
Wiedlisbach,570,995,995
Wolfisberg,234,996,996
Aefligen,271,401,401
Alchenstorf,629,402,402
Burgdorf,378,404,404
Hasle bei Burgdorf,2627,406,406
Heimiswil,2909,407,407
Hellsau,207,408,408
Hindelbank,463,409,409
Höchstetten,303,410,410
Kernenried,355,411,411
Kirchberg (BE),1036,412,412
Koppigen,467,413,413
Krauchthal,1517,414,414
Lyssach,245,415,415
Mötschwil,164,416,416
Oberburg,1641,418,418
Rüdtligen-Alchenflüh,171,420,420
Rumendingen,198,421,421
Rüti bei Lyssach,256,422,422
Willadingen,316,423,423
Wynigen,3181,424,424
Bätterkinden,574,533,533
Utzenstorf,973,552,552
Wiler bei Utzenstorf,189,554,554
Zielebach,172,556,556
Eggiwil,5623,901,901
Langnau im Emmental,4315,902,902
Lauperswil,2111,903,903
Röthenbach im Emmental,2868,904,904
Rüderswil,2257,905,905
Schangnau,2627,906,906
Signau,2521,907,907
Trub,3876,908,908
Trubschachen,1313,909,909
Affoltern im Emmental,1530,951,951
Dürrenroth,1854,952,952
Lützelflüh,3365,955,955
Rüegsau,2175,956,956
Sumiswald,5027,957,957
Trachselwald,1826,958,958
Meikirch,1118,307,307
Bern,1195,351,351
Bolligen,1387,352,352
Bremgarten bei Bern,101,353,353
Kirchlindach,1758,354,354
Köniz,4538,355,355
Muri bei Bern,160,356,356
Oberbalm,1626,357,357
Stettlen,253,358,358
Vechigen,2407,359,359
Wohlen bei Bern,2928,360,360
Zollikofen,834,361,361
Ittigen,246,362,362
Ostermundigen,210,363,363
Bäriswil,73,403,403
Deisswil bei Münchenbuchsee,124,535,535
Diemerswil,338,536,536
Fraubrunnen,2208,538,538
Jegenstorf,878,540,540
Iffwil,228,541,541
Mattstetten,231,543,543
Moosseedorf,370,544,544
Münchenbuchsee,248,546,546
Urtenen-Schönbühl,180,551,551
Wiggiswil,253,553,553
Zuzwil (BE),259,557,557
Arni (BE),1740,602,602
Biglen,290,603,603
Bowil,1464,605,605
Brenzikofen,256,606,606
Freimettigen,259,607,607
Grosshöchstetten,259,608,608
Häutligen,395,609,609
Herbligen,381,610,610
Kiesen,362,611,611
Konolfingen,1750,612,612
Landiswil,1315,613,613
Linden,1582,614,614
Mirchel,467,615,615
Münsingen,828,616,616
Niederhünigen,436,617,617
Oberdiessbach,1461,619,619
Oberthal,1311,620,620
Oppligen,283,622,622
Rubigen,598,623,623
Schlosswil,664,624,624
Tägertschi,585,625,625
Walkringen,1947,626,626
Worb,2189,627,627
Zäziwil,718,628,628
Oberhünigen,508,629,629
Allmendingen,524,630,630
Wichtrach,981,632,632
Clavaleyres,240,661,661
Ferenbalm,749,662,662
Frauenkappelen,374,663,663
Golaten,96,664,664
Gurbrü,222,665,665
Kriechenwil,468,666,666
Laupen,174,667,667
Mühleberg,2600,668,668
Münchenwiler,599,669,669
Neuenegg,1736,670,670
Wileroltigen,298,671,671
Guggisberg,4010,852,852
Rüschegg,1494,853,853
Schwarzenburg,6171,855,855
Belp,1989,861,861
Gelterfingen,373,865,865
Gerzensee,974,866,866
Jaberg,90,868,868
Kaufdorf,211,869,869
Kehrsatz,492,870,870
Kirchdorf (BE),767,872,872
Kirchenthurnen,254,873,873
Lohnstorf,335,874,874
Mühledorf (BE),184,875,875
Mühlethurnen,333,876,876
Niedermuhlern,974,877,877
Noflen,327,878,878
Riggisberg,2034,879,879
Rüeggisberg,3797,880,880
Rümligen,538,881,881
Toffen,416,884,884
Wald (BE),1878,888,888
Reutigen,793,767,767
Stocken-Höfen,1033,770,770
Burgistein,1103,863,863
Gurzelen,836,867,867
Seftigen,414,883,883
Uttigen,365,885,885
Wattenwil,1122,886,886
Amsoldingen,740,921,921
Blumenstein,707,922,922
Buchholterberg,2044,923,923
Eriz,925,924,924
Fahrni,1111,925,925
Heiligenschwendi,384,927,927
Heimberg,387,928,928
Hilterfingen,0,929,929
Homberg,757,931,931
Horrenbach-Buchen,643,932,932
Oberhofen am Thunersee,109,934,934
Oberlangenegg,884,935,935
Pohlern,379,936,936
Schwendibach,210,937,937
Sigriswil,2682,938,938
Steffisburg,833,939,939
Teuffenthal (BE),403,940,940
Thierachern,1000,941,941
Thun,684,942,942
Uebeschi,876,943,943
Uetendorf,1386,944,944
Unterlangenegg,1015,945,945
Wachseldorn,644,946,946
Zwieselberg,307,947,947
Forst-Längenbühl,968,948,948
Boltigen,2843,791,791
Lenk,3023,792,792
St. Stephan,2461,793,793
Zweisimmen,2708,794,794
Gsteig,1175,841,841
Lauenen,1264,842,842
Saanen,5039,843,843
Adelboden,2985,561,561
Aeschi bei Spiez,1724,562,562
Frutigen,5392,563,563
Kandergrund,1017,564,564
Kandersteg,198,565,565
Krattigen,296,566,566
Reichenbach im Kandertal,3043,567,567
Därstetten,1511,761,761
Diemtigen,3699,762,762
Erlenbach im Simmental,1573,763,763
Oberwil im Simmental,2326,766,766
Spiez,1311,768,768
Wimmis,1173,769,769
Beatenberg,544,571,571
Bönigen,214,572,572
Brienz (BE),1375,573,573
Brienzwiler,4,574,574
Därligen,124,575,575
Grindelwald,1875,576,576
Gsteigwiler,220,577,577
Gündlischwand,21,578,578
Habkern,1208,579,579
Hofstetten bei Brienz,276,580,580
Interlaken,28,581,581
Iseltwald,178,582,582
Lauterbrunnen,980,584,584
Leissigen,128,585,585
Lütschental,308,586,586
Matten bei Interlaken,212,587,587
Niederried bei Interlaken,43,588,588
Oberried am Brienzersee,83,589,589
Ringgenberg (BE),215,590,590
Saxeten,222,591,591
Schwanden bei Brienz,92,592,592
Unterseen,761,593,593
Wilderswil,409,594,594
Guttannen,174,782,782
Hasliberg,1257,783,783
Innertkirchen,913,784,784
Meiringen,1993,785,785
Schattenhalb,475,786,786
Luzern,1435,1061,1061
Adligenswil,748,1051,1051
Buchrain,284,1052,1052
Dierikon,385,1053,1053
Ebikon,785,1054,1054
Gisikon,120,1055,1055
Greppen,347,1056,1056
Honau,161,1057,1057
Horw,602,1058,1058
Kriens,1189,1059,1059
Malters,3977,1062,1062
Meggen,387,1063,1063
Meierskappel,853,1064,1064
Root,530,1065,1065
Schwarzenberg,2037,1066,1066
Udligenswil,716,1067,1067
Vitznau,400,1068,1068
Weggis,904,1069,1069
Aesch (LU),607,1021,1021
Altwis,247,1022,1022
Ballwil,1474,1023,1023
Emmen,1867,1024,1024
Ermensee,509,1025,1025
Eschenbach (LU),2293,1026,1026
Hitzkirch,3139,1030,1030
Hochdorf,1220,1031,1031
Hohenrain,3905,1032,1032
Inwil,1333,1033,1033
Rain,1495,1037,1037
Römerswil,3021,1039,1039
