commune,id,cow_ratio
Kyburg,175,0.1
Illnau-Effretikon,174,0.1
Bangerten,532,0.66
Rapperswil (BE),310,0.66
Niederösch,417,0.5
Oberösch,419,0.5
Ersigen,405,0.5
Hermiswil,978,1.16
Seeberg,988,1.16
Dompierre (FR),2014,0.34
Domdidier,2013,0.34
Russy,2040,0.34
Léchelles,2024,0.34
Autafond,2172,0.34
Belfaux,2175,0.34
Vuisternens-en-Ogoz,2231,0.69
Rossens (FR),2222,0.69
Farvagny,2192,0.69
Corpataux-Magnedens,2184,0.69
Le Glèbe,2223,0.69
Jeuss,2264,0.17
Lurtigen,2270,0.17
Salvenach,2277,0.17
Courlevon,2251,0.17
Murten,2275,0.17
Haut-Vully,2281,0.26
Bas-Vully,2280,0.26
Bivio,3531,0.89
Cunter,3532,0.89
Marmorera,3533,0.89
Mulegns,3534,0.89
Riom-Parsonz,3536,0.89
Salouf,3538,0.89
Savognin,3539,0.89
Sur,3540,0.89
Tinizong-Rona,3541,0.89
Obersaxen,3612,1.32
Mundaun,3617,1.32
Saas,3883,0.37
Klosters-Serneus,3871,0.37
St. Antönien,3893,1.27
Luzein,3891,1.27
Brot-Dessous,6405,0.7
Rochefort,6413,0.7
Aeugst am Albis,1,0.31
Affoltern am Albis,2,0.05
Bonstetten,3,0.07
Hausen am Albis,4,0.41
Hedingen,5,0.09
Kappel am Albis,6,0.99
Knonau,7,0.38
Maschwanden,8,0.88
Mettmenstetten,9,0.4
Obfelden,10,0.1
Ottenbach,11,0.07
Rifferswil,12,0.59
Stallikon,13,0.2
Wettswil am Albis,14,0.01
Adlikon,21,0.9
Benken (ZH),22,0.4
Berg am Irchel,23,0.32
Buch am Irchel,24,1.13
Dachsen,25,0.0
Dorf,26,0.19
Feuerthalen,27,0.0
Flaach,28,0.38
Flurlingen,29,0.0
Andelfingen,30,0.05
Henggart,31,0.01
Humlikon,32,0.08
Kleinandelfingen,33,0.22
Laufen-Uhwiesen,34,0.17
Marthalen,35,0.24
Oberstammheim,36,0.72
Ossingen,37,0.9
Rheinau,38,0.09
Thalheim an der Thur,39,0.65
Trüllikon,40,0.51
Truttikon,41,0.85
Unterstammheim,42,0.54
Volken,43,0.61
Waltalingen,44,0.76
Bachenbülach,51,0.01
Bassersdorf,52,0.03
Bülach,53,0.03
Dietlikon,54,0.01
Eglisau,55,0.05
Embrach,56,0.05
Freienstein-Teufen,57,0.24
Glattfelden,58,0.16
Hochfelden,59,0.18
Höri,60,0.15
Hüntwangen,61,0.12
Kloten,62,0.03
Lufingen,63,0.03
Nürensdorf,64,0.08
Oberembrach,65,0.78
Opfikon,66,0.0
Rafz,67,0.14
Rorbas,68,0.07
Wallisellen,69,0.0
Wasterkingen,70,0.5
Wil (ZH),71,0.34
Winkel,72,0.05
Bachs,81,0.96
Boppelsen,82,0.09
Buchs (ZH),83,0.0
Dällikon,84,0.05
Dänikon,85,0.04
Dielsdorf,86,0.01
Hüttikon,87,0.25
Neerach,88,0.2
Niederglatt,89,0.06
Niederhasli,90,0.09
Niederweningen,91,0.17
Oberglatt,92,0.01
Oberweningen,93,0.1
Otelfingen,94,0.15
Regensberg,95,0.24
Regensdorf,96,0.05
Rümlang,97,0.03
Schleinikon,98,0.54
Schöfflisdorf,99,0.1
Stadel,100,0.69
Steinmaur,101,0.11
Weiach,102,0.11
Bäretswil,111,0.32
Bubikon,112,0.19
Dürnten,113,0.11
Fischenthal,114,0.56
Gossau (ZH),115,0.19
Grüningen,116,0.28
Hinwil,117,0.2
Rüti (ZH),118,0.05
Seegräben,119,0.29
Wald (ZH),120,0.26
Wetzikon (ZH),121,0.04
Adliswil,131,0.0
Hirzel,132,0.77
Horgen,133,0.03
Hütten,134,1.02
Kilchberg (ZH),135,0.0
Langnau am Albis,136,0.05
Oberrieden,137,0.0
Richterswil,138,0.06
Rüschlikon,139,0.01
Schönenberg (ZH),140,0.67
Thalwil,141,0.01
Wädenswil,142,0.08
Erlenbach (ZH),151,0.0
Herrliberg,152,0.1
Hombrechtikon,153,0.15
Küsnacht (ZH),154,0.03
Männedorf,155,0.0
Meilen,156,0.05
Oetwil am See,157,0.12
Stäfa,158,0.02
Uetikon am See,159,0.03
Zumikon,160,0.0
Zollikon,161,0.0
Fehraltorf,172,0.12
Hittnau,173,0.32
Lindau,176,0.16
Pfäffikon,177,0.12
Russikon,178,0.19
Weisslingen,180,0.37
Wila,181,0.29
Wildberg,182,0.64
Bauma,297,0.29
Dübendorf,191,0.01
Egg,192,0.15
Fällanden,193,0.01
Greifensee,194,0.03
Maur,195,0.14
Mönchaltorf,196,0.15
Schwerzenbach,197,0.02
Uster,198,0.04
Volketswil,199,0.04
Wangen-Brüttisellen,200,0.06
Altikon,211,0.9
Brütten,213,0.24
Dägerlen,214,0.6
Dättlikon,215,0.15
Dinhard,216,0.51
Elgg,217,0.24
Ellikon an der Thur,218,0.2
Elsau,219,0.12
Hagenbuch,220,0.69
Hettlingen,221,0.09
Hofstetten (ZH),222,1.02
Neftenbach,223,0.19
Pfungen,224,0.06
Rickenbach (ZH),225,0.39
Schlatt (ZH),226,1.09
Seuzach,227,0.06
Turbenthal,228,0.31
Winterthur,230,0.01
Zell (ZH),231,0.15
Wiesendangen,298,0.25
Aesch (ZH),241,0.35
Birmensdorf (ZH),242,0.07
Dietikon,243,0.01
